locus_tag	ftype	length_bp	gene	EC_number	COG	product
MLDAINPC_00980	CDS	459	proS_1	6.1.1.15		Proline--tRNA ligase
MLDAINPC_00981	CDS	789	fhuF		COG4114	Ferric siderophore reductase
MLDAINPC_00982	CDS	1065				hypothetical protein
MLDAINPC_00983	CDS	237				hypothetical protein
MLDAINPC_00984	tRNA	87				tRNA-Leu(cag)
MLDAINPC_00985	tRNA	87				tRNA-Leu(cag)
MLDAINPC_00986	tRNA	87				tRNA-Leu(cag)
MLDAINPC_00987	CDS	1029	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
MLDAINPC_00988	CDS	438	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
MLDAINPC_00989	CDS	447	rimI	2.3.1.266		[Ribosomal protein bS18]-alanine N-acetyltransferase
MLDAINPC_00990	CDS	681	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
MLDAINPC_00991	CDS	1590	prfC		COG4108	Peptide chain release factor RF3
MLDAINPC_00992	CDS	618	osmY_1		COG2823	Osmotically-inducible protein Y
MLDAINPC_00993	CDS	162				hypothetical protein
MLDAINPC_00994	CDS	1095				hypothetical protein
MLDAINPC_00995	CDS	774	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
MLDAINPC_00996	CDS	864	yjjW	1.97.1.-	COG1180	Putative glycyl-radical enzyme activating enzyme YjjW
MLDAINPC_00997	CDS	1551	yjjI		COG1328	putative protein YjjI
MLDAINPC_00998	CDS	780	deoC	4.1.2.4		Deoxyribose-phosphate aldolase
MLDAINPC_00999	CDS	1323	deoA	2.4.2.4		Thymidine phosphorylase
MLDAINPC_01000	CDS	1224	deoB	5.4.2.7	COG1015	Phosphopentomutase
MLDAINPC_01001	CDS	720	deoD	2.4.2.1		Purine nucleoside phosphorylase DeoD-type
MLDAINPC_01002	CDS	573				hypothetical protein
MLDAINPC_01003	CDS	2409	stjB			StjB fimbria biogenesis outer membrane usher protein StjB
MLDAINPC_01004	CDS	708				hypothetical protein
MLDAINPC_01005	CDS	690	gltF_1		COG3539	Protein GltF
MLDAINPC_01006	CDS	690	gltF_2		COG3539	Protein GltF
MLDAINPC_01007	CDS	1017	lplA	6.3.1.20	COG0095	Lipoate-protein ligase A
MLDAINPC_01008	CDS	645	ytjB		COG3726	putative inner membrane protein Smp
MLDAINPC_01009	CDS	969	serB	3.1.3.3	COG0560	Phosphoserine phosphatase
MLDAINPC_01010	CDS	1383	radA	3.6.4.-	COG1066	DNA repair protein RadA
MLDAINPC_01011	CDS	1233	nadR			Trifunctional NAD biosynthesis/regulator protein NadR
MLDAINPC_01012	CDS	1668	ettA	3.6.1.-	COG0488	Energy-dependent translational throttle protein EttA
MLDAINPC_01013	CDS	1938	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
MLDAINPC_01014	CDS	327	trpR		COG2973	Trp operon repressor
MLDAINPC_01015	CDS	516	yjjX	3.6.1.73		Inosine/xanthosine triphosphatase
MLDAINPC_01016	tRNA	94				tRNA-Gly(tcc)
MLDAINPC_01017	CDS	870	rob_1			Transcriptional regulator Rob
MLDAINPC_01018	CDS	108				hypothetical protein
MLDAINPC_01019	CDS	489				hypothetical protein
MLDAINPC_01020	CDS	690	creB		COG0745	Transcriptional regulatory protein CreB
MLDAINPC_01021	CDS	1425	creC	2.7.13.3	COG2205	Sensor protein CreC
MLDAINPC_01022	CDS	1350	creD		COG4452	Inner membrane protein CreD
MLDAINPC_01023	CDS	1086				hypothetical protein
MLDAINPC_01024	CDS	558				hypothetical protein
MLDAINPC_01025	CDS	2538	fimD_1		COG3188	Outer membrane usher protein FimD
MLDAINPC_01026	CDS	684	lpfB_1		COG3121	putative fimbrial chaperone LpfB
MLDAINPC_01027	CDS	546	fimF_1		COG3539	Protein FimF
MLDAINPC_01028	CDS	672	iprA_1			Inhibitor of hydrogen peroxide resistance
MLDAINPC_01029	CDS	315				hypothetical protein
MLDAINPC_01030	CDS	717	arcA_2		COG0745	Aerobic respiration control protein ArcA
MLDAINPC_01031	CDS	687	trmL_1	2.1.1.207		tRNA (cytidine(34)-2'-O)-methyltransferase
MLDAINPC_01032	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
MLDAINPC_01033	CDS	930	thrB	2.7.1.39	COG0083	Homoserine kinase
MLDAINPC_01034	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
MLDAINPC_01035	CDS	774	yaaA		COG3022	DNA-binding and peroxide stress resistance protein YaaA
MLDAINPC_01036	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
MLDAINPC_01037	CDS	954	talB_1	2.2.1.2	COG0176	Transaldolase B
MLDAINPC_01038	CDS	591	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
MLDAINPC_01039	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
MLDAINPC_01040	CDS	714				hypothetical protein
MLDAINPC_01041	CDS	405				hypothetical protein
MLDAINPC_01042	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
MLDAINPC_01043	CDS	1140	dnaJ		COG0484	Chaperone protein DnaJ
MLDAINPC_01044	CDS	948	ybdO_1		COG0583	putative HTH-type transcriptional regulator YbdO
MLDAINPC_01045	CDS	345				hypothetical protein
MLDAINPC_01046	CDS	534				hypothetical protein
MLDAINPC_01047	CDS	444				hypothetical protein
MLDAINPC_01048	CDS	2082				hypothetical protein
MLDAINPC_01049	CDS	2997				hypothetical protein
MLDAINPC_01050	CDS	705	iprA_2			Inhibitor of hydrogen peroxide resistance
MLDAINPC_01051	CDS	543	elfA		COG3539	Laminin-binding fimbrial subunit ElfA
MLDAINPC_01052	CDS	687	sfmC_1		COG3121	putative fimbrial chaperone SfmC
MLDAINPC_01053	CDS	2622	elfC_1		COG3188	putative outer membrane usher protein ElfC
MLDAINPC_01054	CDS	1008	sfmH_1		COG3539	putative fimbrial-like protein SfmH
MLDAINPC_01055	CDS	546	ycbU		COG3539	putative fimbrial-like protein YcbU
MLDAINPC_01056	CDS	519	fimF_2		COG3539	Protein FimF
MLDAINPC_01057	CDS	732	ycbF		COG3121	putative fimbrial chaperone YcbF
MLDAINPC_01058	CDS	846				hypothetical protein
MLDAINPC_01059	CDS	288				hypothetical protein
MLDAINPC_01060	CDS	450				hypothetical protein
MLDAINPC_01061	CDS	1005	leuO_1		COG0583	HTH-type transcriptional regulator LeuO
MLDAINPC_01062	CDS	441				hypothetical protein
MLDAINPC_01063	CDS	1719	astA_1	2.8.2.22		Arylsulfate sulfotransferase AssT
MLDAINPC_01064	CDS	1563	mggB	3.1.3.-	COG0737	Mannosylglucosyl-3-phosphoglycerate phosphatase
MLDAINPC_01065	CDS	762				hypothetical protein
MLDAINPC_01066	CDS	1494		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
MLDAINPC_01067	CDS	1191	chuR_2	1.1.98.7	COG0641	Serine-type anaerobic sulfatase-maturating enzyme
MLDAINPC_01068	CDS	1248				hypothetical protein
MLDAINPC_01069	CDS	1716	assT_3	2.8.2.22		Arylsulfate sulfotransferase AssT
MLDAINPC_01070	CDS	1167	nhaA			Na(+)/H(+) antiporter NhaA
MLDAINPC_01071	CDS	894	nhaR		COG0583	Transcriptional activator protein NhaR
MLDAINPC_01072	CDS	2040				hypothetical protein
MLDAINPC_01073	CDS	1374	xylP			Isoprimeverose transporter
MLDAINPC_01074	CDS	210				hypothetical protein
MLDAINPC_01075	CDS	939	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
MLDAINPC_01076	CDS	2835	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
MLDAINPC_01077	CDS	501	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
MLDAINPC_01078	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
MLDAINPC_01079	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
MLDAINPC_01080	CDS	1203				hypothetical protein
MLDAINPC_01081	CDS	921	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
MLDAINPC_01082	CDS	687	citB			Transcriptional regulatory protein CitB
MLDAINPC_01083	CDS	1659	citA	2.7.13.3		Sensor histidine kinase CitA
MLDAINPC_01084	CDS	1302	oadB1_1	7.2.4.2		Oxaloacetate decarboxylase beta chain 1
MLDAINPC_01085	CDS	1776	oadA_1	7.2.4.2		Oxaloacetate decarboxylase alpha chain
MLDAINPC_01086	CDS	240	oadG2_1	7.2.4.2		Oxaloacetate decarboxylase gamma chain 2
MLDAINPC_01087	CDS	1341	citS			Citrate/sodium symporter
MLDAINPC_01088	CDS	969	citC_1	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
MLDAINPC_01089	CDS	294	citD_1			Citrate lyase acyl carrier protein
MLDAINPC_01090	CDS	870	citE_1	4.1.3.6		Citrate lyase subunit beta
MLDAINPC_01091	CDS	1521	citF_1	4.1.3.6		Citrate lyase alpha chain
MLDAINPC_01092	CDS	552	citX_1	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
MLDAINPC_01093	CDS	909	citG_1	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
MLDAINPC_01094	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
MLDAINPC_01095	CDS	276				hypothetical protein
MLDAINPC_01096	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl phosphate synthase small chain
MLDAINPC_01097	CDS	3228	carB	6.3.4.16	COG0458	Carbamoyl phosphate synthase large chain
MLDAINPC_01098	CDS	396				hypothetical protein
MLDAINPC_01099	CDS	597	caiE			Carnitine operon protein CaiE
MLDAINPC_01100	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
MLDAINPC_01101	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
MLDAINPC_01102	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
MLDAINPC_01103	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
MLDAINPC_01104	CDS	1518	caiT		COG1292	L-carnitine/gamma-butyrobetaine antiporter
MLDAINPC_01105	CDS	771	fixA_1		COG2086	Protein FixA
MLDAINPC_01106	CDS	942	fixB_1		COG2025	Protein FixB
MLDAINPC_01107	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
MLDAINPC_01108	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
MLDAINPC_01109	CDS	1341	ygcS		COG0477	Inner membrane metabolite transport protein YgcS
MLDAINPC_01110	CDS	231	ygdR_1			putative lipoprotein YgdR
MLDAINPC_01111	CDS	417				hypothetical protein
MLDAINPC_01112	CDS	291				hypothetical protein
MLDAINPC_01113	CDS	1890				hypothetical protein
MLDAINPC_01114	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
MLDAINPC_01115	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
MLDAINPC_01116	CDS	480				IS1595 family transposase ISSsu9
MLDAINPC_01117	CDS	849	apaH	3.6.1.41		Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
MLDAINPC_01118	CDS	378	apaG		COG2967	Protein ApaG
MLDAINPC_01119	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
MLDAINPC_01120	CDS	990	pdxA	1.1.1.262		4-hydroxythreonine-4-phosphate dehydrogenase
MLDAINPC_01121	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
MLDAINPC_01122	CDS	2361	lptD			LPS-assembly protein LptD
MLDAINPC_01123	CDS	813	djlA		COG1076	Co-chaperone protein DjlA
MLDAINPC_01124	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
MLDAINPC_01125	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
MLDAINPC_01126	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
MLDAINPC_01127	CDS	621				hypothetical protein
MLDAINPC_01128	CDS	420				hypothetical protein
MLDAINPC_01129	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
MLDAINPC_01130	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
MLDAINPC_01131	CDS	1710	araB	2.7.1.16	COG1069	Ribulokinase
MLDAINPC_01132	CDS	846	araC		COG4977	Arabinose operon regulatory protein
MLDAINPC_01133	CDS	768	yabI		COG0586	Inner membrane protein YabI
MLDAINPC_01134	CDS	708	thiQ	7.6.2.15		Thiamine import ATP-binding protein ThiQ
MLDAINPC_01135	CDS	1611	thiP			Thiamine transport system permease protein ThiP
MLDAINPC_01136	CDS	984	thiB			Thiamine-binding periplasmic protein
MLDAINPC_01137	CDS	1659	sgrR_2		COG4533	HTH-type transcriptional regulator SgrR
MLDAINPC_01138	CDS	123	sgrT			Putative inhibitor of glucose uptake transporter SgrT
MLDAINPC_01139	CDS	606	leuD1	4.2.1.33		3-isopropylmalate dehydratase small subunit 1
MLDAINPC_01140	CDS	1401	leuC1	4.2.1.33		3-isopropylmalate dehydratase large subunit 1
MLDAINPC_01141	CDS	1092	leuB	1.1.1.85		3-isopropylmalate dehydrogenase
MLDAINPC_01142	CDS	1572	leuA	2.3.3.13		2-isopropylmalate synthase
MLDAINPC_01143	CDS	945	leuO_2		COG0583	HTH-type transcriptional regulator LeuO
MLDAINPC_01144	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
MLDAINPC_01145	CDS	495	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
MLDAINPC_01146	CDS	1005	cra		COG1609	Catabolite repressor/activator
MLDAINPC_01147	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
MLDAINPC_01148	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
MLDAINPC_01149	CDS	366	ftsL		COG3116	Cell division protein FtsL
MLDAINPC_01150	CDS	1767	ftsI_1			penicillin-binding protein PBP3 FtsI
MLDAINPC_01151	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
MLDAINPC_01152	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
MLDAINPC_01153	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
MLDAINPC_01154	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
MLDAINPC_01155	CDS	1245	ftsW	2.4.99.28	COG0772	putative peptidoglycan glycosyltransferase FtsW
MLDAINPC_01156	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
MLDAINPC_01157	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
MLDAINPC_01158	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
MLDAINPC_01159	CDS	831	ftsQ			Cell division protein FtsQ
MLDAINPC_01160	CDS	1263	ftsA		COG0849	Cell division protein FtsA
MLDAINPC_01161	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
MLDAINPC_01162	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
MLDAINPC_01163	CDS	498	secM			Secretion monitor
MLDAINPC_01164	CDS	2706	secA	7.4.2.8	COG0653	Protein translocase subunit SecA
MLDAINPC_01165	CDS	396	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
MLDAINPC_01166	CDS	192	yacG		COG3024	DNA gyrase inhibitor YacG
MLDAINPC_01167	CDS	744	zapD			Cell division protein ZapD
MLDAINPC_01168	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
MLDAINPC_01169	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
MLDAINPC_01170	CDS	1203	pilC			Type IV pilus assembly protein PilC
MLDAINPC_01171	CDS	1386	pilB		COG2804	Type IV pilus assembly ATPase PilB
MLDAINPC_01172	CDS	438	ppdD		COG4969	Prepilin peptidase-dependent protein D
MLDAINPC_01173	CDS	894	nadC	2.4.2.19		Nicotinate-nucleotide pyrophosphorylase [carboxylating]
MLDAINPC_01174	CDS	564	ampD	3.5.1.28		1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
MLDAINPC_01175	CDS	855	ampE		COG3725	Protein AmpE
MLDAINPC_01176	CDS	951		3.2.1.55	COG3940	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
MLDAINPC_01177	CDS	1407	yicJ_1		COG2211	Inner membrane symporter YicJ
MLDAINPC_01178	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
MLDAINPC_01179	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
MLDAINPC_01180	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
MLDAINPC_01181	CDS	1890	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
MLDAINPC_01182	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
MLDAINPC_01183	CDS	285				hypothetical protein
MLDAINPC_01184	CDS	792				hypothetical protein
MLDAINPC_01185	CDS	1623				hypothetical protein
MLDAINPC_01186	CDS	2598	acnB	4.2.1.3		Aconitate hydratase B
MLDAINPC_01187	CDS	843				hypothetical protein
MLDAINPC_01188	CDS	363				hypothetical protein
MLDAINPC_01189	CDS	954	kdgT_1			2-keto-3-deoxygluconate permease
MLDAINPC_01190	CDS	1272	dtnK	2.7.1.219		D-threonate kinase
MLDAINPC_01191	CDS	984	pdxA2	1.1.1.408		D-threonate 4-phosphate dehydrogenase
MLDAINPC_01192	CDS	768	glcR_1		COG1349	HTH-type transcriptional repressor GlcR
MLDAINPC_01193	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
MLDAINPC_01194	CDS	861	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
MLDAINPC_01195	CDS	387				hypothetical protein
MLDAINPC_01196	CDS	1611	cueO	1.16.3.4		Multicopper oxidase CueO
MLDAINPC_01197	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
MLDAINPC_01198	CDS	537	hpt	2.4.2.8		Hypoxanthine phosphoribosyltransferase
MLDAINPC_01199	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
MLDAINPC_01200	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
MLDAINPC_01201	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
MLDAINPC_01202	CDS	1080	lpfD_1		COG3539	putative minor fimbrial subunit LpfD
MLDAINPC_01203	CDS	2559	fimD_2		COG3188	Outer membrane usher protein FimD
MLDAINPC_01204	CDS	684	fimC_1		COG3121	Chaperone protein FimC
MLDAINPC_01205	CDS	540	fimA_1			Type-1 fimbrial protein, A chain
MLDAINPC_01206	CDS	441				hypothetical protein
MLDAINPC_01207	CDS	1230				hypothetical protein
MLDAINPC_01208	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
MLDAINPC_01209	CDS	855	panC	6.3.2.1		Pantothenate synthetase
MLDAINPC_01210	CDS	792	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
MLDAINPC_01211	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
MLDAINPC_01212	CDS	1419	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
MLDAINPC_01213	CDS	942	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
MLDAINPC_01214	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
MLDAINPC_01215	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
MLDAINPC_01216	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
MLDAINPC_01217	CDS	2475	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
MLDAINPC_01218	CDS	2523	mrcB		COG0744	Penicillin-binding protein 1B
MLDAINPC_01219	CDS	2190	fhuA_1		COG4774	Ferrichrome outer membrane transporter/phage receptor
MLDAINPC_01220	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
MLDAINPC_01221	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
MLDAINPC_01222	CDS	2058	fhuB			Iron(3+)-hydroxamate import system permease protein FhuB
MLDAINPC_01223	CDS	207				hypothetical protein
MLDAINPC_01224	CDS	561	smfA			Fimbria A protein
MLDAINPC_01225	CDS	2658	steB			fimbrial biogenesis outer membrane usher protein SteB
MLDAINPC_01226	CDS	753	yfcS		COG3121	putative fimbrial chaperone YfcS
MLDAINPC_01227	CDS	513	yfcR		COG3539	putative fimbrial-like protein YfcR
MLDAINPC_01228	CDS	477	yfcQ		COG3539	putative fimbrial-like protein YfcQ
MLDAINPC_01229	CDS	531	yfcP		COG3539	putative fimbrial-like protein YfcP
MLDAINPC_01230	CDS	840	yfcO			putative protein YfcO
MLDAINPC_01231	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
MLDAINPC_01232	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
MLDAINPC_01233	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
MLDAINPC_01234	CDS	624				hypothetical protein
MLDAINPC_01235	CDS	801	btuF		COG0614	Vitamin B12-binding protein
MLDAINPC_01236	CDS	699	mtnN	3.2.2.9		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
MLDAINPC_01237	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
MLDAINPC_01238	CDS	1428	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
MLDAINPC_01239	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
MLDAINPC_01240	CDS	387				hypothetical protein
MLDAINPC_01241	CDS	1302	shiA		COG0477	Shikimate transporter
MLDAINPC_01242	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
MLDAINPC_01243	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
MLDAINPC_01244	CDS	795	map	3.4.11.18		Methionine aminopeptidase
MLDAINPC_01245	CDS	726	rpsB		COG0052	Small ribosomal subunit protein uS2
MLDAINPC_01246	CDS	924	tsf		COG0264	Elongation factor Ts
MLDAINPC_01247	CDS	726	pyrH	2.7.4.22		Uridylate kinase
MLDAINPC_01248	CDS	558	frr		COG0233	Ribosome-recycling factor
MLDAINPC_01249	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
MLDAINPC_01250	CDS	690	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
MLDAINPC_01251	CDS	858	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
MLDAINPC_01252	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
MLDAINPC_01253	CDS	2415	bamA			Outer membrane protein assembly factor BamA
MLDAINPC_01254	CDS	486	skp			Chaperone protein Skp
MLDAINPC_01255	CDS	1026	lpxD	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
MLDAINPC_01256	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
MLDAINPC_01257	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
MLDAINPC_01258	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
MLDAINPC_01259	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
MLDAINPC_01260	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
MLDAINPC_01261	CDS	960	accA	2.1.3.15		Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
MLDAINPC_01262	CDS	1764				hypothetical protein
MLDAINPC_01263	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
MLDAINPC_01264	CDS	390				hypothetical protein
MLDAINPC_01265	CDS	1293	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
MLDAINPC_01266	CDS	261	rof		COG4568	Protein rof
MLDAINPC_01267	CDS	201				hypothetical protein
MLDAINPC_01268	CDS	546	yaeQ		COG4681	putative protein YaeQ
MLDAINPC_01269	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
MLDAINPC_01270	CDS	702	nlpE		COG3015	Lipoprotein NlpE
MLDAINPC_01271	CDS	1719	proS_2	6.1.1.15	COG0442	Proline--tRNA ligase
MLDAINPC_01272	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
MLDAINPC_01273	CDS	405	rcsF			Outer membrane lipoprotein RcsF
MLDAINPC_01274	CDS	816	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
MLDAINPC_01275	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
MLDAINPC_01276	CDS	1032	metN_1	7.4.2.11	COG1135	Methionine import ATP-binding protein MetN
MLDAINPC_01277	CDS	567	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
MLDAINPC_01278	CDS	255				hypothetical protein
MLDAINPC_01279	tRNA	77				tRNA-Ile(gat)
MLDAINPC_01280	tRNA	76				tRNA-Ala(tgc)
MLDAINPC_01281	tRNA	77				tRNA-Asp(gtc)
MLDAINPC_01282	CDS	804	dkgB	1.1.1.-	COG0656	Methylglyoxal reductase DkgB
MLDAINPC_01283	CDS	915	crgA			HTH-type transcriptional regulator CrgA
MLDAINPC_01284	CDS	1176	ydhP		COG2814	Inner membrane transport protein YdhP
MLDAINPC_01285	CDS	801				hypothetical protein
MLDAINPC_01286	CDS	771	ycgJ	2.1.1.-	COG2226	putative methyltransferase YcgJ
MLDAINPC_01287	CDS	1221	mltD	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase D
MLDAINPC_01288	CDS	756	gloB	3.1.2.6		Hydroxyacylglutathione hydrolase
MLDAINPC_01289	CDS	723	bioC_1	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
MLDAINPC_01290	CDS	468	rnhA	3.1.26.4	COG0328	Ribonuclease HI
MLDAINPC_01291	CDS	741	dnaQ	2.7.7.7	COG0847	DNA polymerase III subunit epsilon
MLDAINPC_01292	tRNA	77				tRNA-Asp(gtc)
MLDAINPC_01293	CDS	1056	tssA1			Type VI secretion system component TssA1
MLDAINPC_01294	CDS	996				hypothetical protein
MLDAINPC_01295	CDS	1884	tssF1			Type VI secretion system component TssF1
MLDAINPC_01296	CDS	495	tssE1			Type VI secretion system component TssE1
MLDAINPC_01297	CDS	825	tagJ			Type VI secretion system accessory component TagJ
MLDAINPC_01298	CDS	903				hypothetical protein
